product_name,product_description
Wireless Bluetooth Headphones,High-quality over-ear headphones with noise cancellation and 30-hour battery life.
Smartphone Stand,Adjustable aluminum stand compatible with all smartphones and tablets.
USB-C Charging Cable,Durable 1-meter USB-C to USB-C fast charging cable with braided design.
Laptop Sleeve,"Slim, padded sleeve for 13-inch laptops with water-resistant fabric."
Mechanical Keyboard,RGB backlit mechanical keyboard with blue switches for tactile feedback.
Wireless Mouse,Ergonomic wireless mouse with adjustable DPI and silent clicking.
Smart LED Light Bulb,Color-changing smart bulb compatible with Alexa and Google Assistant.
Portable Power Bank,"10,000mAh power bank with dual USB output and LED indicator."
Noise Cancelling Earbuds,In-ear wireless earbuds with active noise cancellation and charging case.
4K Action Camera,Waterproof action camera with 4K resolution and wide-angle lens.
Fitness Tracker,Water-resistant fitness band with heart rate monitor and step counter.
Smart Thermostat,Wi-Fi enabled thermostat with learning capability and energy reports.
Gaming Chair,"Ergonomic gaming chair with adjustable height, lumbar support, and headrest."
Streaming Webcam,1080p HD webcam with built-in microphone and low-light correction.
External Hard Drive,1TB external hard drive with USB 3.0 support and shock-resistant design.
Wireless Charger Pad,Fast wireless charging pad compatible with Qi-enabled devices.
Bluetooth Speaker,Portable Bluetooth speaker with deep bass and 12-hour battery life.
Electric Toothbrush,Rechargeable electric toothbrush with smart timer and pressure sensor.
Toothbrush, new improved toothbrush for all your needs
Smartwatch,"Stylish smartwatch with GPS, fitness tracking, and message notifications."
Laptop Stand,Foldable and adjustable stand for laptops up to 17 inches.
